Datos sueño;;;;;
Movimiento pulsera Mi;;;;;
Fecha ;inicio;final ;profundo;ligero;despierto
29-5-2018;18;651;51;542;0
30-5-2018;27;730;104;529;30
31-5-2018;2305;613;29;548;0
1-6-2018;45;804;36;645;0
2-6-2018;115;531;23;353;0
3-6-2018;11;847;58;715;23
4-6-2018;12;639;30;557;0
5-6-2018;2344;700;107;609;0
6-6-2018;16;542;24;502;0
7-6-2018;25;452;31;356;0
8-6-2018;2336;655;56;623;0
9-6-2018;20;711;17;634;0
10-6-2018;2355;652;34;606;17
11-6-2018;18;720;48;529;45
12-6-2018;1136;635;159;500;0
13-6-2018;45;637;42;510;0
14-6-2018;4;636;123;509;0
15-6-2018;;;;;
16-6-2018;15;856;218;623;0
17-6-2018;144;1135;244;707;0
18-6-2018;1050;626;134;546;16
19-6-2018;38;633;114;441;0
20-6-2018;3;653;201;449;0
21-6-2018;1120;630;54;616;0
22-6-2018;34;633;50;509;0
23-6-2018;1127;717;145;602;3
24-6-2018;22;832;48;722;0
25-6-2018;21;635;52;522;0
26-6-2018;1138;557;43;532;4
27-6-2018;;;;;
28-6-2018;59;611;31;411;0
29-6-2018;;;;;
30-6-2018;;;;;
1-7-2018;;;;;
2-7-2018;;;;;
3-7-2018;;;;;
4-7-2018;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
